DonorZipCode,County,TransactionAmount
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,250
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,3000
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,27200
90010,Los Angeles,27200
90010,Los Angeles,27200
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,2500
90010,Los Angeles,4100
90010,Los Angeles,-2300
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,250.28
90010,Los Angeles,540
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,600
90010,Los Angeles,650
90010,Los Angeles,750
90010,Los Angeles,1000
90010,Los Angeles,1851.96
90010,Los Angeles,150
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,300
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,200
90010,Los Angeles,500
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,900
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,300
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,2500
90010,Los Angeles,3800
90010,Los Angeles,3000
90010,Los Angeles,2500
90010,Los Angeles,1500
90010,Los Angeles,4000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,700
90010,Los Angeles,300
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,250
90010,Los Angeles,5000
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,200
90010,Los Angeles,651.82
90010,Los Angeles,2500
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,4100
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,750
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,2000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,3600
90010,Los Angeles,300
90010,Los Angeles,1000
90010,Los Angeles,923.98
90010,Los Angeles,2000
90010,Los Angeles,1400
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1600
90010,Los Angeles,900
90010,Los Angeles,1500
90010,Los Angeles,2000
90010,Los Angeles,4100
90010,Los Angeles,4100
90010,Los Angeles,250
90010,Los Angeles,150
90010,Los Angeles,4100
90010,Los Angeles,150
90010,Los Angeles,150
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,2400
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,300
90010,Los Angeles,500
90010,Los Angeles,300
